Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Zach Ertz,198.3,48.85333333,0.28,0.04,4.28,6.32,0,25,0,48.85333333,11.62,0.28,2.6,67.26,0,0,0,43.2,0,4.28,11.62,58.85714286,0.571428571,0.071428571,5.285714286,7.857142857,0,27,0,58.85714286,11.1,0.571428571,3.285714286,67.3,0,0,0,53,0,5.285714286,11.1
Zach Ertz,151.4,46.55737705,0.213114754,0.032786885,4.049180328,5.967213115,0,24.5,0,46.55737705,11.75,0.213114754,2.442622951,67.25,0,0,0,40.75,0,4.049180328,11.75,58.28571429,0.285714286,0,5.571428571,7.571428571,0,26,0,58.28571429,10.5,0.285714286,3,73.6,0,0,0,30,0,5.571428571,10.5
Zach Ertz,126.6,43.06382979,0.191489362,0.042553191,3.595744681,5.489361702,0,24,0,43.06382979,12.16666667,0.191489362,2.276595745,65.13333333,0,0,0,44.33333333,0,3.595744681,12.16666667,56.86666667,0.133333333,0.066666667,5,7.466666667,0,25,0,56.86666667,11.4,0.133333333,2.666666667,67,0,0,0,60,0,5,11.4
Zach Ertz,115.3,36.59375,0.21875,0.03125,2.9375,4.5625,0,23.5,0,36.59375,12.55,0.21875,2.09375,64.2,0,0,0,36.5,0,2.9375,12.55,43.875,0.1875,0.0625,3.625,5.5625,0,24,0,43.875,12.1,0.1875,2.625,65.2,0,0,0,35,0,3.625,12.1
Zach Ertz,107.2,29.3125,0.25,0,2.25,3.5625,0,23,0,29.3125,13,0.25,1.5625,63.2,0,0,0,38,0,2.25,13,29.3125,0.25,0,2.25,3.5625,0,23,0,29.3125,13,0.25,1.5625,63.2,0,0,0,38,0,2.25,13
Melvin Gordon,258.1,59.5,0,0.428571429,2.357142857,2.642857143,13.14285714,22,45.78571429,13.71428571,5.8,0,0.571428571,89.2,0,2.571428571,27,18,3.5,15.5,3.8,59.5,0,0.428571429,2.357142857,2.642857143,13.14285714,22,45.78571429,13.71428571,5.8,0,0.571428571,89.2,0,2.571428571,27,18,3.5,15.5,3.8
James White,225.1,39.23404255,0.29787234,0,3.425531915,4.617021277,2.404255319,23.5,9.170212766,30.06382979,7.95,0.255319149,1.510638298,80.425,0.042553191,0.382978723,11.25,41.75,3.75,5.829787234,6.3,42.85714286,0.214285714,0,4,5.142857143,3.071428571,25,12.21428571,30.64285714,7.7,0.214285714,1.785714286,77.8,0,0.428571429,10,27,4,7.071428571,6.1
James White,93.5,37.6969697,0.333333333,0,3.181818182,4.393939394,2.121212121,23,7.878787879,29.81818182,8.033333333,0.272727273,1.393939394,81.3,0.060606061,0.363636364,11.66666667,46.66666667,3.666666667,5.303030303,6.366666667,44.8125,0.3125,0,3.75,5.375,2.4375,24,10.375,34.4375,9.2,0.3125,1.625,69.8,0,0.5,16,61,4.3,6.1875,7.2
James White,118.7,31,0.352941176,0,2.647058824,3.470588235,1.823529412,22.5,5.529411765,25.47058824,7.45,0.235294118,1.176470588,87.05,0.117647059,0.235294118,9.5,39.5,3.35,4.470588235,5.95,33.28571429,0.428571429,0,2.857142857,3.857142857,1.571428571,23,4,29.28571429,10.3,0.285714286,1.357142857,74.1,0.142857143,0.214285714,8,68,2.5,4.428571429,7.5
James White,93.6,20.33333333,0,0,1.666666667,1.666666667,3,22,12.66666667,7.666666667,4.6,0,0.333333333,100,0,0.333333333,11,11,4.2,4.666666667,4.4,20.33333333,0,0,1.666666667,1.666666667,3,22,12.66666667,7.666666667,4.6,0,0.333333333,100,0,0.333333333,11,11,4.2,4.666666667,4.4
Tyreek Hill,278,67.80645161,0.516129032,0.193548387,4.387096774,6.064516129,1.322580645,22.5,10.51612903,57.29032258,12.75,0.419354839,2.290322581,72.45,0.096774194,0.451612903,43,64,7.3,5.709677419,11.8,82.8,0.466666667,0.133333333,5,7,1.133333333,23,3.933333333,78.86666667,15.8,0.466666667,2.666666667,71.4,0,0.2,16,79,3.5,6.133333333,13.5
Tyreek Hill,183.7,53.75,0.5625,0.25,3.8125,5.1875,1.5,22,16.6875,37.0625,9.7,0.375,1.9375,73.5,0.1875,0.6875,70,49,11.1,5.3125,10.1,53.75,0.5625,0.25,3.8125,5.1875,1.5,22,16.6875,37.0625,9.7,0.375,1.9375,73.5,0.1875,0.6875,70,49,11.1,5.3125,10.1
Latavius Murray,127.4,63.31147541,0.459016393,0.131147541,1.737704918,2.229508197,12.44262295,25.5,51.14754098,12.16393443,7.25,0,0.442622951,79.05,0.459016393,2.655737705,58,34,4.275,14.18032787,4.65,59.0625,0.5,0.0625,0.9375,1.0625,13.5,27,52.625,6.4375,6.9,0,0.25,88.2,0.5,2.6875,46,28,3.9,14.4375,4.1
Latavius Murray,176,64.82222222,0.444444444,0.155555556,2.022222222,2.644444444,12.06666667,25,50.62222222,14.2,7.366666667,0,0.511111111,76,0.444444444,2.644444444,62,36,4.4,14.08888889,4.833333333,75.14285714,0.857142857,0.142857143,2.357142857,3.071428571,13.92857143,26,56.28571429,18.85714286,8,0,0.785714286,76.7,0.857142857,3.714285714,42,39,4,16.28571429,4.6
Latavius Murray,218.7,60.16129032,0.258064516,0.161290323,1.870967742,2.451612903,11.22580645,24.5,48.06451613,12.09677419,7.05,0,0.387096774,75.65,0.258064516,2.161290323,72,34.5,4.6,13.09677419,4.95,81.125,0.375,0.25,2.5625,3.3125,16.625,25,66.625,14.5,5.7,0,0.5625,77.4,0.375,3.0625,54,23,4,19.1875,4.2
Latavius Murray,193.8,37.8,0.133333333,0.066666667,1.133333333,1.533333333,5.466666667,24,28.26666667,9.533333333,8.4,0,0.2,73.9,0.133333333,1.2,90,46,5.2,6.6,5.7,37.8,0.133333333,0.066666667,1.133333333,1.533333333,5.466666667,24,28.26666667,9.533333333,8.4,0,0.2,73.9,0.133333333,1.2,90,46,5.2,6.6,5.7
Emmanuel Sanders,139.6,54.45217391,0.286956522,0.086956522,4.034782609,6.843478261,0.12173913,26.5,0.92173913,53.53043478,13.175,0.286956522,2.634782609,57.6875,0,0.043478261,8.75,48,6.025,4.156521739,13.075,46.25,0.166666667,0,3.916666667,7.666666667,0,30,0,46.25,11.8,0.166666667,2.5,51.1,0,0,0,38,0,3.916666667,11.8
Emmanuel Sanders,82.5,55.40776699,0.300970874,0.097087379,4.048543689,6.747572816,0.13592233,26,1.029126214,54.37864078,13.37142857,0.300970874,2.650485437,58.62857143,0,0.048543689,10,49.42857143,6.885714286,4.184466019,13.25714286,64.75,0.3125,0.0625,4.9375,8.5625,0.0625,29,0.25,64.5,13.1,0.3125,3.125,57.7,0,0,4,64,4,5,13
Emmanuel Sanders,156.6,53.68965517,0.298850575,0.103448276,3.885057471,6.413793103,0.149425287,25.5,1.172413793,52.51724138,13.41666667,0.298850575,2.563218391,58.78333333,0,0.057471264,11,47,7.366666667,4.034482759,13.3,77.6,0.4,0.133333333,5.066666667,9.066666667,0.2,28,1.933333333,75.66666667,14.9,0.4,3.4,55.9,0,0.066666667,24,75,9.7,5.266666667,14.7
Emmanuel Sanders,174.4,48.70833333,0.277777778,0.097222222,3.638888889,5.861111111,0.138888889,25,1.013888889,47.69444444,13.12,0.277777778,2.388888889,59.36,0,0.055555556,8.4,41.4,6.9,3.777777778,13.02,90.5,0.5625,0.0625,6.3125,8.8125,0.5,27,2.75,87.75,13.9,0.5625,4.3125,71.6,0,0.1875,13,48,5.5,6.8125,13.3
Emmanuel Sanders,232.8,36.76785714,0.196428571,0.107142857,2.875,5.017857143,0.035714286,24.5,0.517857143,36.25,12.925,0.196428571,1.839285714,56.3,0,0.017857143,7.25,39.75,7.25,2.910714286,12.95,47.8125,0.375,0.0625,4.1875,7.0625,0.0625,26,1.5625,46.25,11,0.375,2.3125,59.3,0,0.0625,25,55,25,4.25,11.3
Emmanuel Sanders,129.5,32.35,0.125,0.125,2.35,4.2,0.025,24,0.1,32.25,13.56666667,0.125,1.65,55.3,0,0,1.333333333,34.66666667,1.333333333,2.375,13.5,39.375,0.0625,0.1875,2.75,4.6875,0.0625,25,0.25,39.125,14.2,0.0625,1.9375,58.7,0,0,4,37,4,2.8125,14
Emmanuel Sanders,78.5,27.66666667,0.166666667,0.083333333,2.083333333,3.875,0,23.5,0,27.66666667,13.25,0.166666667,1.458333333,53.6,0,0,0,33.5,0,2.083333333,13.25,26.18181818,0.181818182,0,2,3.909090909,0,24,0,26.18181818,13.1,0.181818182,1.545454545,51.2,0,0,0,32,0,2,13.1
Emmanuel Sanders,49.3,28.92307692,0.153846154,0.153846154,2.153846154,3.846153846,0,23,0,28.92307692,13.4,0.153846154,1.384615385,56,0,0,0,35,0,2.153846154,13.4,28.92307692,0.153846154,0.153846154,2.153846154,3.846153846,0,23,0,28.92307692,13.4,0.153846154,1.384615385,56,0,0,0,35,0,2.153846154,13.4
